City,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Khanbari,NP,27.3747,87.2039,73.78,92,100,1.48,overcast clouds
80,Užventis,LT,55.7803,22.6547,51.87,93,14,2.66,few clouds
81,Narsaq,GL,60.9167,-46.05,46.62,96,100,2.64,moderate rain
82,Punta Arenas,CL,-53.15,-70.9167,42.91,70,90,9.22,overcast clouds
83,Jardim,BR,-21.4803,-56.1381,62.98,30,100,2.93,overcast clouds
84,Mācherla,IN,16.4833,79.4333,81.41,69,90,16.58,overcast clouds
85,Maţāy,EG,28.419,30.7792,86.58,19,0,6.42,clear sky
86,Andros Town,BS,24.7,-77.7667,82.36,68,100,15.03,overcast clouds
87,Calella,ES,41.618,2.6678,76.35,73,100,2.73,overcast clouds
88,Bud,US,39.447,-86.1758,71.91,65,58,5.23,broken clouds
89,Harper,LR,4.375,-7.7169,75.78,83,99,6.8,overcast clouds
90,Havre-St-Pierre,CA,50.2334,-63.5986,60.57,60,0,17.43,clear sky
91,Sindor,RU,62.8629,51.8905,60.28,99,69,2.35,broken clouds
92,Puchezh,RU,56.9788,43.1676,62.4,76,100,6.96,overcast clouds
93,Chui,UY,-33.6971,-53.4616,48.49,93,6,4.07,clear sky
94,Iqaluit,CA,63.7506,-68.5145,43.7,87,100,17.0,overcast clouds
95,Fort-Shevchenko,KZ,44.5086,50.263,83.46,46,100,2.8,overcast clouds
96,Cockburn Town,TC,21.4612,-71.1419,82.36,77,24,21.05,few clouds
97,Pyshchug,RU,58.8873,45.7134,61.92,77,98,3.4,overcast clouds
98,Adrar,MR,20.5022,-10.0711,88.88,37,4,10.2,clear sky
99,Bathurst,AU,-33.4166,149.5806,38.84,88,100,15.99,overcast clouds
100,Dindori,IN,22.95,81.0833,70.43,95,99,7.72,overcast clouds
101,Arraial do Cabo,BR,-22.9661,-42.0278,68.31,73,68,13.58,broken clouds
102,Nador,MA,35.174,-2.9287,71.85,88,40,0.0,scattered clouds
103,Longyearbyen,SJ,78.2186,15.6401,46.24,66,75,11.5,broken clouds
104,Taoudenni,ML,22.6783,-3.9836,103.55,15,84,6.64,broken clouds
